"id_empresa","ciiu","sector","clase_riesgo","n_trabajadores","ciudad","departamento","antiguedad_meses","prima_anual","fecha_afiliacion"
"E00092","7953","TIC",1,6,"Barranquilla","Atlantico",187,197699,2009-08-23
"E00093","3352","Salud",3,21,"Bogota","Cundinamarca",240,2487023,2005-04-16
"E00094","8679","Construccion",5,10,"Barranquilla","Atlantico",144,3893279,2013-03-05
"E00095","9013","Inmobiliario",1,10,"Medellin","Antioquia",161,215281,2011-10-12
"E00096","8817","Salud",3,52,,,203,7317529,2008-04-30
"E00097","9862","Transporte",4,151,"Medellin","Antioquia",234,37639693,2005-10-13
"E00098","1288","Administracion publica",2,31,"Bogota","Cundinamarca",132,1630668,2014-02-28
"E00099","9351","Comercio",2,84,"Cali","Valle",66,3920866,2019-08-01
"E00100","1582","Energia",4,23,"Bogota","Cundinamarca",140,6713467,2013-07-03
"E00101","2823","Financiero",1,49,"Medellin","Antioquia",230,988711,2006-02-10
"E00102","5779","Manufactura",5,26,"Bogota","Cundinamarca",115,12813463,2015-07-23
"E00103","9544","Salud",4,19,"Medellin","Antioquia",104,,2016-06-17
"E00104","9173","Salud",3,196,"Medellin","Antioquia",91,20522026,2017-07-12
"E00105","5965","Manufactura",5,4,"Medellin","Antioquia",154,1232746,2012-05-09
"E00106","7009","Agricultura",4,21,"Bogota","Cundinamarca",164,3853987,2011-07-14
"E00107","4781","Alojamiento y comida",2,27,"Cali","Valle",237,1260626,2005-07-15
"E00108","7678","Energia",3,37,"Bogota","Cundinamarca",125,3910085,2014-09-26
"E00109","5037","Construccion",5,18,"Bogota","Cundinamarca",120,6481055,2015-02-23
"E00110","2134","TIC",1,16,"Bogota","Cundinamarca",79,,2018-07-07
"E00111","1309","Energia",5,4,"Cali","Valle",150,1389606,2012-09-06
"E00112","1604","Manufactura",5,63,"Medellin","Antioquia",232,21493863,2005-12-12
"E00113","4180","Comercio",2,17,"Medellin","Antioquia",58,951648,2020-03-28
"E00114","2703","Agricultura",5,16,"Barranquilla","Atlantico",240,5259081,2005-04-16
"E00115","6169","Salud",3,10,"Medellin","Antioquia",19,,2023-06-11
"E00116","3673","Financiero",1,34,"Cali","Valle",81,845783,2018-05-08
"E00117","6077","Construccion",5,16,"Bogota","Cundinamarca",233,6087374,2005-11-12
"E00118","9700","Servicios profesionales",1,41,"Medellin","Antioquia",59,1017718,2020-02-27
"E00119","1799","Manufactura",4,29,"Bucaramanga","Santander",150,5043189,2012-09-06
"E00120","4466","Educacion",3,12,"Medellin","Antioquia",162,1293610,2011-09-12
"E00121","8564","Servicios profesionales",1,99,"Barranquilla","Atlantico",23,2216996,2023-02-11
"E00122","6931","Comercio",3,29,"Medellin","Antioquia",50,2839299,2020-11-23
"E00123","4711","Energia",5,17,"Bucaramanga","Santander",100,6786933,2016-10-15
"E00124","7907","Educacion",1,29,"Manizales","Caldas",195,874191,2008-12-26
"E00125","3885","Inmobiliario",1,15,"Medellin","Antioquia",6,538002,2024-07-05
"E00126","7458","Transporte",3,26,"Medellin","Antioquia",164,3677447,2011-07-14
"E00127","6740","Comercio",4,48,"Bogota","Cundinamarca",223,9800111,2006-09-08
"E00128","3136","Transporte",4,4,"Bogota","Cundinamarca",187,960690,2009-08-23
"E00129","1740","Construccion",5,28,"Medellin","Antioquia",99,8829138,2016-11-14
"E00130","6135","Alojamiento y comida",3,21,"Medellin","Antioquia",49,2201184,2020-12-23
"E00131","6992","TIC",2,4,"Bucaramanga","Santander",44,,2021-05-22
"E00132","3433","TIC",1,14,"Barranquilla","Atlantico",186,384190,2009-09-22
"E00133","9363","Inmobiliario",1,6,"Bogota","Cundinamarca",216,159078,2007-04-06
"E00134","2247","Salud",4,10,"Bogota","Cundinamarca",194,2137749,2009-01-25
"E00135","9148","TIC",1,183,"Medellin","Antioquia",85,4713901,2018-01-08
"E00136","1752","Servicios profesionales",1,68,"Cali","Valle",183,1596762,2009-12-21
"E00137","3603","Inmobiliario",1,16,"Barranquilla","Atlantico",54,,2020-07-26
"E00138","1594","Comercio",3,25,"Cali","Valle",147,2204486,2012-12-05
"E00139","9432","Comercio",4,25,"Cali","Valle",196,8590941,2008-11-26
"E00140","4395","Alojamiento y comida",3,291,"Medellin","Antioquia",194,37155851,2009-01-25
"E00141","8548","Educacion",2,36,"Cali","Valle",16,1682577,2023-09-09
"E00142","1291","Servicios profesionales",2,69,"Medellin","Antioquia",18,2744573,2023-07-11
"E00143","9404","Servicios profesionales",1,28,"Cali","Valle",119,647738,2015-03-25
"E00144","9437","Administracion publica",1,6,,,55,188204,2020-06-26
"E00145","7438","Financiero",1,87,"Medellin","Antioquia",209,2058488,2007-11-02
"E00146","6128","Agricultura",5,44,"Barranquilla","Atlantico",98,14773449,2016-12-14
"E00147","5562","Comercio",4,31,"Medellin","Antioquia",190,5675268,2009-05-25
"E00148","6464","Manufactura",3,30,"Barranquilla","Atlantico",29,,2022-08-15
"E00149","9827","Servicios profesionales",1,36,"Bogota","Cundinamarca",212,1151435,2007-08-04
"E00150","2501","Inmobiliario",1,21,"Cali","Valle",101,482010,2016-09-15
"E00151","7258","Salud",3,8,"Cali","Valle",85,1392697,2018-01-08
"E00152","4292","Administracion publica",3,71,"Pereira","Risaralda",161,7936904,2011-10-12
"E00153","4648","Administracion publica",2,123,"Manizales","Caldas",128,6105670,2014-06-28
"E00154","3489","Inmobiliario",1,18,"Pereira","Risaralda",122,382194,2014-12-25
"E00155","4822","Educacion",1,27,"Cali","Valle",9,804914,2024-04-06
"E00156","3938","Alojamiento y comida",3,36,"Bogota","Cundinamarca",124,4692631,2014-10-26
"E00157","7072","Comercio",2,24,"Bogota","Cundinamarca",229,1028621,2006-03-12
"E00158","1049","Alojamiento y comida",3,15,"Bucaramanga","Santander",92,,2017-06-12
"E00159","9746","Construccion",5,1038,"Bucaramanga","Santander",234,389295379,2005-10-13
"E00160","1666","Administracion publica",2,89,"Barranquilla","Atlantico",27,4641507,2022-10-14
"E00161","9852","Servicios profesionales",1,76,"Medellin","Antioquia",44,1671768,2021-05-22
"E00162","7902","TIC",2,50,"Manizales","Caldas",177,2116602,2010-06-19
"E00163","7092","Construccion",4,41,"Bogota","Cundinamarca",107,11057545,2016-03-19
"E00164","8282","Inmobiliario",1,21,"Bucaramanga","Santander",142,515341,2013-05-04
"E00165","1607","Salud",3,25,"Manizales","Caldas",177,2881271,2010-06-19
"E00166","6400","TIC",2,123,"Cali","Valle",87,5297281,2017-11-09
"E00167","8827","Manufactura",4,34,"Pereira","Risaralda",126,7075944,2014-08-27
"E00168","9022","Comercio",3,28,"Bogota","Cundinamarca",56,2672710,2020-05-27
"E00169","5753","Transporte",3,13,"Bogota","Cundinamarca",202,1688524,2008-05-30
"E00170","4340","Comercio",3,34,"Bucaramanga","Santander",173,4420658,2010-10-17
"E00171","8501","Educacion",2,18,"Medellin","Antioquia",95,924450,2017-03-14
"E00172","4612","Servicios profesionales",1,12,"Cali","Valle",123,383786,2014-11-25
"E00173","2050","Servicios profesionales",1,42,"Cali","Valle",203,934353,2008-04-30
"E00174","7797","Salud",3,10,"Barranquilla","Atlantico",184,1159353,2009-11-21
"E00175","5340","Manufactura",3,21,"Medellin","Antioquia",118,2601817,2015-04-24
"E00176","8853","Construccion",5,111,"Medellin","Antioquia",102,45780092,2016-08-16
"E00177","4475","Servicios profesionales",1,41,"Barranquilla","Atlantico",11,1065220,2024-02-06
"E00178","2689","Salud",3,107,"Barranquilla","Atlantico",195,10983091,2008-12-26
"E00179","1358","Financiero",1,36,"Cali","Valle",171,1135997,2010-12-16
"E00180","7714","Inmobiliario",1,17,"Cali","Valle",6,349637,2024-07-05
"E00181","8481","Comercio",3,15,"Bogota","Cundinamarca",219,2080393,2007-01-06
"E00182","7672","Agricultura",3,41,,,137,5856094,2013-10-01
"E00183","9192","TIC",1,8,"Cali","Valle",21,241443,2023-04-12
"E00184","9807","Comercio",3,22,"Bucaramanga","Santander",175,2990208,2010-08-18
"E00185","2857","Energia",4,24,"Bogota","Cundinamarca",36,4996754,2022-01-17
"E00186","6880","Mineria",5,23,"Medellin","Antioquia",84,8383665,2018-02-07
"E00187","9262","Inmobiliario",1,81,"Bogota","Cundinamarca",138,1632471,2013-09-01
"E00188","8378","Inmobiliario",1,18,"Barranquilla","Atlantico",30,502938,2022-07-16
"E00189","3950","Inmobiliario",1,13,"Barranquilla","Atlantico",208,265583,2007-12-02
"E00190","3861","Agricultura",3,12,"Bucaramanga","Santander",77,1282527,2018-09-05
"E00191","8592","Servicios profesionales",2,47,"Cali","Valle",198,2615904,2008-09-27
"E00192","3212","Comercio",4,5,"Bogota","Cundinamarca",21,898438,2023-04-12
"E00193","2925","Manufactura",3,8,"Bucaramanga","Santander",162,992542,2011-09-12
"E00194","4076","Energia",5,40,"Bogota","Cundinamarca",125,10645497,2014-09-26
"E00195","6836","TIC",1,12,"Bogota","Cundinamarca",140,294897,2013-07-03
"E00196","4077","Inmobiliario",1,31,"Pereira","Risaralda",153,813234,2012-06-08
"E00197","6283","Inmobiliario",1,26,"Pereira","Risaralda",240,596448,2005-04-16
"E00198","8326","Construccion",4,60,"Manizales","Caldas",49,17876645,2020-12-23
"E00199","2447","Comercio",2,49,"Medellin","Antioquia",43,2582084,2021-06-21
"E00200","4042","Construccion",5,19,"Manizales","Caldas",170,7310002,2011-01-15
"E00201","8425","Transporte",5,18,"Bogota","Cundinamarca",200,7019871,2008-07-29
"E00202","1739","Manufactura",5,19,"Bogota","Cundinamarca",200,6739106,2008-07-29
"E00203","2302","Alojamiento y comida",3,43,"Cali","Valle",43,,2021-06-21
"E00204","2873","Servicios profesionales",1,29,"Medellin","Antioquia",26,670412,2022-11-13
"E00205","8589","Agricultura",4,129,"Cali","Valle",55,,2020-06-26
"E00206","4780","Construccion",4,8,"Bucaramanga","Santander",77,1702192,2018-09-05
"E00207","9688","Transporte",4,10,"Medellin","Antioquia",77,1545802,2018-09-05
"E00208","6816","Comercio",3,13,"Bogota","Cundinamarca",120,1373981,2015-02-23
"E00209","1102","Inmobiliario",1,694,"Cali","Valle",7,17831716,2024-06-05
"E00210","1759","Manufactura",3,30,"Medellin","Antioquia",205,3363149,2008-03-01
"E00211","6786","Alojamiento y comida",4,40,"Medellin","Antioquia",121,12036695,2015-01-24
"E00212","5278","Servicios profesionales",2,12,"Barranquilla","Atlantico",118,,2015-04-24
"E00213","7321","Manufactura",4,25,"Barranquilla","Atlantico",178,5829280,2010-05-20
"E00214","7889","Comercio",3,83,"Cali","Valle",113,,2015-09-21
"E00215","5868","Educacion",2,5,"Barranquilla","Atlantico",29,,2022-08-15
"E00216","1764","Construccion",4,19,"Medellin","Antioquia",102,3972264,2016-08-16
"E00217","4280","Comercio",3,11,"Cali","Valle",24,,2023-01-12
"E00218","9820","Educacion",1,38,"Cali","Valle",12,,2024-01-07
"E00219","4192","Alojamiento y comida",3,65,"Cali","Valle",148,7788779,2012-11-05
"E00220","6796","Construccion",5,14,"Bogota","Cundinamarca",209,5085895,2007-11-02
"E00221","7101","Comercio",3,18,"Pereira","Risaralda",229,2467174,2006-03-12
"E00222","5858","Energia",4,19,"Bogota","Cundinamarca",84,4072886,2018-02-07
"E00223","1010","Agricultura",3,63,"Bogota","Cundinamarca",208,6186594,2007-12-02
"E00224","8620","Mineria",5,19,"Bogota","Cundinamarca",72,5662259,2019-02-02
"E00225","8431","Comercio",3,103,"Medellin","Antioquia",148,10999107,2012-11-05
"E00226","4426","Comercio",3,19,"Bucaramanga","Santander",192,2147658,2009-03-26
"E00227","2009","Comercio",3,114,"Manizales","Caldas",161,10762483,2011-10-12
"E00228","1433","Construccion",5,32,"Medellin","Antioquia",39,10131295,2021-10-19
"E00229","5232","Servicios profesionales",1,29,"Bogota","Cundinamarca",11,,2024-02-06
"E00230","2977","Manufactura",5,24,,,210,8449892,2007-10-03
"E00231","8385","Inmobiliario",2,28,"Medellin","Antioquia",185,1441750,2009-10-22
"E00232","7311","Construccion",4,58,"Cali","Valle",185,10437062,2009-10-22
"E00233","8411","Servicios profesionales",1,70,"Medellin","Antioquia",109,2063244,2016-01-19
"E00234","7117","Administracion publica",2,32,"Medellin","Antioquia",138,1520517,2013-09-01
"E00235","4683","Energia",4,36,"Bogota","Cundinamarca",74,8435468,2018-12-04
"E00236","5315","Inmobiliario",2,15,"Barranquilla","Atlantico",20,,2023-05-12
"E00237","6114","Manufactura",4,29,"Bogota","Cundinamarca",236,5070593,2005-08-14
"E00238","9588","Servicios profesionales",1,41,"Cali","Valle",206,845682,2008-01-31
"E00239","7699","Construccion",4,12,"Cali","Valle",26,2685989,2022-11-13
"E00240","5804","Construccion",5,36,"Cali","Valle",60,,2020-01-28
"E00241","8983","Salud",2,17,"Medellin","Antioquia",24,777944,2023-01-12
"E00242","6421","Servicios profesionales",1,50,"Barranquilla","Atlantico",86,1366854,2017-12-09
"E00243","5016","Financiero",1,17,"Medellin","Antioquia",8,520707,2024-05-06
"E00244","6726","TIC",1,39,"Bucaramanga","Santander",237,1357231,2005-07-15
"E00245","1765","Alojamiento y comida",3,28,"Medellin","Antioquia",6,4077453,2024-07-05
"E00246","2246","Agricultura",5,49,"Barranquilla","Atlantico",6,15183160,2024-07-05
"E00247","6969","Financiero",1,14,"Bucaramanga","Santander",191,,2009-04-25
"E00248","9155","Servicios profesionales",1,52,"Barranquilla","Atlantico",182,1134681,2010-01-20
"E00249","4268","Comercio",2,16,"Bogota","Cundinamarca",197,826898,2008-10-27
"E00250","9417","Alojamiento y comida",4,33,,,50,7442759,2020-11-23
"E00251","7575","Salud",4,25,"Medellin","Antioquia",217,4743313,2007-03-07
"E00252","9338","Manufactura",5,36,"Bogota","Cundinamarca",125,13554813,2014-09-26
"E00253","9626","Agricultura",4,45,"Barranquilla","Atlantico",159,9492242,2011-12-11
"E00254","3839","Comercio",3,13,"Manizales","Caldas",167,1406174,2011-04-15
"E00255","8395","TIC",1,29,"Bogota","Cundinamarca",176,792811,2010-07-19
"E00256","1426","Servicios profesionales",1,6,"Medellin","Antioquia",175,156954,2010-08-18
"E00257","7749","Administracion publica",1,16,"Cali","Valle",38,,2021-11-18
"E00258","4439","Comercio",4,14,"Bogota","Cundinamarca",190,2533451,2009-05-25
"E00259","6106","Transporte",4,22,"Bogota","Cundinamarca",52,,2020-09-24
"E00260","2589","Mineria",5,91,"Bogota","Cundinamarca",144,34006907,2013-03-05
"E00261","6329","Construccion",5,179,"Barranquilla","Atlantico",116,,2015-06-23
"E00262","7903","Inmobiliario",1,12,"Bucaramanga","Santander",161,274471,2011-10-12
"E00263","1188","Manufactura",5,8,"Cali","Valle",190,2657896,2009-05-25
"E00264","4392","Inmobiliario",1,44,"Medellin","Antioquia",218,1207588,2007-02-05
"E00265","9023","Servicios profesionales",1,33,"Medellin","Antioquia",234,,2005-10-13
"E00266","9047","Salud",4,10,"Bogota","Cundinamarca",38,,2021-11-18
"E00267","6642","Administracion publica",1,38,"Medellin","Antioquia",30,1013844,2022-07-16
"E00268","3130","Inmobiliario",1,18,"Barranquilla","Atlantico",223,539313,2006-09-08
"E00269","9988","Inmobiliario",2,12,"Medellin","Antioquia",156,703941,2012-03-10
"E00270","4754","TIC",1,27,"Cali","Valle",82,636862,2018-04-08
"E00271","1223","Inmobiliario",2,29,"Manizales","Caldas",236,1321531,2005-08-14
"E00272","4392","TIC",2,53,"Medellin","Antioquia",184,2767176,2009-11-21
"E00273","4854","Construccion",5,27,"Cali","Valle",121,7240749,2015-01-24
"E00274","1220","Servicios profesionales",2,27,"Bogota","Cundinamarca",21,1139281,2023-04-12
"E00275","6456","Manufactura",4,13,"Medellin","Antioquia",108,2729237,2016-02-18
"E00276","4479","Manufactura",4,139,,,144,44607729,2013-03-05
"E00277","7576","Energia",4,55,"Cali","Valle",7,10914912,2024-06-05
"E00278","2765","Manufactura",4,14,"Pereira","Risaralda",104,,2016-06-17
"E00279","1056","Comercio",2,40,"Bogota","Cundinamarca",13,2016586,2023-12-08
"E00280","4178","Servicios profesionales",1,27,"Medellin","Antioquia",111,615987,2015-11-20
"E00281","5855","Inmobiliario",1,14,"Medellin","Antioquia",29,432660,2022-08-15
"E00282","8480","Inmobiliario",1,12,"Bogota","Cundinamarca",18,258000,2023-07-11
"E00283","8682","Financiero",2,10,"Cali","Valle",123,598859,2014-11-25
"E00284","9862","Comercio",3,115,"Bogota","Cundinamarca",32,,2022-05-17
"E00285","5451","Comercio",3,96,"Medellin","Antioquia",77,,2018-09-05
"E00286","9578","Inmobiliario",1,29,"Medellin","Antioquia",6,1092977,2024-07-05
"E00287","6825","Inmobiliario",2,76,"Bogota","Cundinamarca",89,3301203,2017-09-10
"E00288","6264","Salud",3,19,"Bogota","Cundinamarca",132,1885192,2014-02-28
"E00289","5567","Comercio",3,25,"Medellin","Antioquia",177,2280353,2010-06-19
"E00290","5000","Educacion",2,20,"Bogota","Cundinamarca",50,883891,2020-11-23
"E00291","5175","Servicios profesionales",1,17,"Medellin","Antioquia",83,,2018-03-09
"E00292","4461","Salud",3,61,"Cali","Valle",207,9919971,2008-01-01
"E00293","5703","Agricultura",3,43,"Medellin","Antioquia",82,,2018-04-08
"E00294","7919","Transporte",5,4,"Bucaramanga","Santander",221,1305268,2006-11-07
"E00295","9810","Comercio",2,65,"Pereira","Risaralda",36,2951613,2022-01-17
"E00296","9520","Administracion publica",3,62,"Medellin","Antioquia",78,10093592,2018-08-06
"E00297","7393","Financiero",1,49,"Cali","Valle",228,1390866,2006-04-11
"E00298","6746","Financiero",1,161,"Manizales","Caldas",223,4177480,2006-09-08
"E00299","9359","Servicios profesionales",1,36,"Medellin","Antioquia",73,894495,2019-01-03
"E00300","1022","Educacion",1,64,"Bogota","Cundinamarca",135,1556337,2013-11-30
"E00301","5783","Servicios profesionales",2,48,,,175,2327928,2010-08-18
"E00302","5596","TIC",1,144,"Medellin","Antioquia",209,3824435,2007-11-02
"E00303","7120","Manufactura",4,111,"Barranquilla","Atlantico",217,24101724,2007-03-07
"E00304","7072","Construccion",5,31,"Medellin","Antioquia",8,,2024-05-06
"E00305","8610","Comercio",2,170,"Manizales","Caldas",157,7658551,2012-02-09
"E00306","7637","TIC",1,39,"Medellin","Antioquia",228,1522388,2006-04-11
"E00307","5958","Agricultura",3,123,"Medellin","Antioquia",186,12056912,2009-09-22
"E00308","6661","Servicios profesionales",2,54,"Bogota","Cundinamarca",158,2644387,2012-01-10
"E00309","5402","Inmobiliario",2,81,"Cali","Valle",28,4873788,2022-09-14
"E00310","4088","Inmobiliario",1,21,"Medellin","Antioquia",41,483809,2021-08-20
"E00311","3209","Administracion publica",2,5,"Medellin","Antioquia",206,217243,2008-01-31
"E00312","3455","Inmobiliario",2,26,"Bogota","Cundinamarca",151,1466868,2012-08-07
"E00313","1960","TIC",1,8,"Bogota","Cundinamarca",175,208744,2010-08-18
"E00314","8035","Servicios profesionales",1,57,"Cali","Valle",207,1473685,2008-01-01
"E00315","1700","Salud",3,32,"Cali","Valle",99,3152081,2016-11-14
"E00316","7258","Salud",4,9,"Bogota","Cundinamarca",204,2042151,2008-03-31
"E00317","7456","Servicios profesionales",1,15,"Cali","Valle",85,362663,2018-01-08
"E00318","2725","Financiero",2,17,"Barranquilla","Atlantico",95,962233,2017-03-14
"E00319","7996","Inmobiliario",1,33,"Medellin","Antioquia",167,771020,2011-04-15
"E00320","4761","Construccion",5,20,"Cali","Valle",41,,2021-08-20
"E00321","3520","Servicios profesionales",1,27,"Medellin","Antioquia",65,623574,2019-08-31
"E00322","9055","Servicios profesionales",2,12,,,54,,2020-07-26
"E00323","5047","Alojamiento y comida",3,12,"Cali","Valle",219,1225206,2007-01-06
"E00324","9851","Inmobiliario",1,139,"Bogota","Cundinamarca",162,3618362,2011-09-12
"E00325","6595","Salud",3,14,"Medellin","Antioquia",35,1760029,2022-02-16
"E00326","5526","Comercio",4,59,"Pereira","Risaralda",50,,2020-11-23
"E00327","8125","Educacion",2,82,"Bogota","Cundinamarca",204,3838734,2008-03-31
