"id_empresa","id_servicio","fecha_uso","canal"
"E02676","SV038",2022-01-01,"autogestion"
"E02766","SV028",2022-01-01,"virtual"
"E02796","SV002",2022-01-01,"autogestion"
"E02882","SV011",2022-01-01,"autogestion"
"E02886","SV015",2022-01-01,"virtual"
"E02936","SV022",2022-01-01,"autogestion"
"E02949","SV013",2022-01-01,"virtual"
"E03000","SV026",2022-01-01,"presencial"
"E03005","SV001",2022-01-01,"autogestion"
"E03195","SV040",2022-01-01,"presencial"
"E03218","SV040",2022-01-01,"autogestion"
"E03299","SV031",2022-01-01,"virtual"
"E03391","SV002",2022-01-01,"presencial"
"E03418","SV003",2022-01-01,"presencial"
"E03440","SV031",2022-01-01,"presencial"
"E03441","SV006",2022-01-01,"autogestion"
"E03501","SV005",2022-01-01,"virtual"
"E03516","SV031",2022-01-01,"presencial"
"E03537","SV031",2022-01-01,"autogestion"
"E03605","SV009",2022-01-01,"autogestion"
"E03633","SV004",2022-01-01,"autogestion"
"E03751","SV024",2022-01-01,"virtual"
"E03766","SV016",2022-01-01,"virtual"
"E03863","SV038",2022-01-01,"virtual"
"E03884","SV028",2022-01-01,"virtual"
"E03968","SV028",2022-01-01,"autogestion"
"E04028","SV038",2022-01-01,"virtual"
"E04045","SV039",2022-01-01,"autogestion"
"E04152","SV013",2022-01-01,"virtual"
"E04172","SV018",2022-01-01,"presencial"
"E04192","SV038",2022-01-01,"virtual"
"E04292","SV026",2022-01-01,"virtual"
"E04332","SV009",2022-01-01,"presencial"
"E04349","SV030",2022-01-01,"autogestion"
"E04376","SV016",2022-01-01,"autogestion"
"E04441","SV015",2022-01-01,"presencial"
"E04541","SV008",2022-01-01,"autogestion"
"E04574","SV031",2022-01-01,"virtual"
"E04624","SV018",2022-01-01,"virtual"
"E04632","SV011",2022-01-01,"presencial"
"E04710","SV005",2022-01-01,"presencial"
"E04720","SV036",2022-01-01,"virtual"
"E04809","SV013",2022-01-01,"presencial"
"E04867","SV013",2022-01-01,"autogestion"
"E00021","SV034",2022-01-02,"presencial"
"E00105","SV006",2022-01-02,"virtual"
"E00130","SV013",2022-01-02,"virtual"
"E00165","SV031",2022-01-02,"autogestion"
"E00227","SV015",2022-01-02,"autogestion"
"E00294","SV031",2022-01-02,"virtual"
"E00296","SV012",2022-01-02,"virtual"
"E00356","SV031",2022-01-02,"virtual"
"E00534","SV031",2022-01-02,"autogestion"
"E00544","SV028",2022-01-02,"presencial"
"E00578","SV028",2022-01-02,"autogestion"
"E00755","SV038",2022-01-02,"virtual"
"E00788","SV004",2022-01-02,"autogestion"
"E00834","SV004",2022-01-02,"virtual"
"E00845","SV037",2022-01-02,"virtual"
"E01045","SV037",2022-01-02,"autogestion"
"E01085","SV004",2022-01-02,"presencial"
"E01121","SV020",2022-01-02,"virtual"
"E01292","SV031",2022-01-02,"virtual"
"E01299","SV002",2022-01-02,"presencial"
"E01393","SV027",2022-01-02,"presencial"
"E01403","SV020",2022-01-02,"virtual"
"E01441","SV008",2022-01-02,"presencial"
"E01513","SV038",2022-01-02,"presencial"
"E01569","SV024",2022-01-02,"autogestion"
"E01650","SV014",2022-01-02,"virtual"
"E01822","SV034",2022-01-02,"presencial"
"E01864","SV024",2022-01-02,"autogestion"
"E01902","SV013",2022-01-02,"autogestion"
"E01929","SV013",2022-01-02,"virtual"
"E01949","SV013",2022-01-02,"presencial"
"E01987","SV015",2022-01-02,"autogestion"
"E02090","SV038",2022-01-02,"autogestion"
"E02122","SV016",2022-01-02,"virtual"
"E02123","SV021",2022-01-02,"autogestion"
"E02129","SV015",2022-01-02,"autogestion"
"E02142","SV013",2022-01-02,"presencial"
"E02356","SV013",2022-01-02,"virtual"
"E02409","SV026",2022-01-02,"autogestion"
"E02447","SV013",2022-01-02,"autogestion"
"E02460","SV009",2022-01-02,"virtual"
"E02538","SV029",2022-01-02,"virtual"
"E02556","SV040",2022-01-02,"virtual"
"E02619","SV010",2022-01-02,"presencial"
"E02632","SV026",2022-01-02,"virtual"
"E02669","SV012",2022-01-02,"autogestion"
"E02702","SV026",2022-01-02,"autogestion"
"E02723","SV031",2022-01-02,"autogestion"
"E02874","SV040",2022-01-02,"presencial"
"E02876","SV039",2022-01-02,"virtual"
"E02929","SV031",2022-01-02,"autogestion"
"E02957","SV013",2022-01-02,"presencial"
"E03004","SV011",2022-01-02,"virtual"
"E03097","SV020",2022-01-02,"virtual"
"E03128","SV024",2022-01-02,"virtual"
"E03142","SV002",2022-01-02,"virtual"
"E03151","SV014",2022-01-02,"presencial"
"E03160","SV031",2022-01-02,"presencial"
"E03255","SV008",2022-01-02,"autogestion"
"E03312","SV013",2022-01-02,"autogestion"
"E03324","SV031",2022-01-02,"virtual"
"E03470","SV038",2022-01-02,"virtual"
"E03561","SV011",2022-01-02,"virtual"
"E03565","SV026",2022-01-02,"presencial"
"E03610","SV031",2022-01-02,"autogestion"
"E03677","SV005",2022-01-02,"presencial"
"E03786","SV026",2022-01-02,"virtual"
"E03974","SV013",2022-01-02,"autogestion"
"E03984","SV013",2022-01-02,"autogestion"
"E04181","SV038",2022-01-02,"autogestion"
"E04189","SV022",2022-01-02,"virtual"
"E04328","SV011",2022-01-02,"virtual"
"E04400","SV003",2022-01-02,"presencial"
"E04403","SV038",2022-01-02,"virtual"
"E04498","SV004",2022-01-02,"presencial"
"E04541","SV024",2022-01-02,"presencial"
"E04548","SV034",2022-01-02,"virtual"
"E04554","SV011",2022-01-02,"autogestion"
"E04568","SV012",2022-01-02,"autogestion"
"E04613","SV024",2022-01-02,"autogestion"
"E04616","SV028",2022-01-02,"autogestion"
"E04669","SV024",2022-01-02,"virtual"
"E04776","SV009",2022-01-02,"virtual"
"E04789","SV012",2022-01-02,"presencial"
"E04839","SV038",2022-01-02,"autogestion"
"E04968","SV031",2022-01-02,"virtual"
"E00045","SV006",2022-01-03,"autogestion"
"E00046","SV038",2022-01-03,"autogestion"
"E00057","SV031",2022-01-03,"autogestion"
"E00098","SV016",2022-01-03,"autogestion"
"E00114","SV001",2022-01-03,"presencial"
"E00174","SV024",2022-01-03,"presencial"
"E00207","SV031",2022-01-03,"virtual"
"E00234","SV034",2022-01-03,"autogestion"
"E00264","SV031",2022-01-03,"virtual"
"E00297","SV031",2022-01-03,"virtual"
"E00375","SV013",2022-01-03,"autogestion"
"E00393","SV011",2022-01-03,"virtual"
"E00459","SV028",2022-01-03,"presencial"
"E00480","SV006",2022-01-03,"presencial"
"E00487","SV031",2022-01-03,"autogestion"
"E00497","SV028",2022-01-03,"virtual"
"E00585","SV031",2022-01-03,"autogestion"
"E00609","SV020",2022-01-03,"presencial"
"E00651","SV005",2022-01-03,"virtual"
"E00687","SV014",2022-01-03,"autogestion"
"E00758","SV027",2022-01-03,"presencial"
"E00787","SV031",2022-01-03,"virtual"
"E00828","SV024",2022-01-03,"autogestion"
"E00875","SV009",2022-01-03,"presencial"
"E00992","SV009",2022-01-03,"virtual"
"E01066","SV035",2022-01-03,"virtual"
"E01092","SV031",2022-01-03,"autogestion"
"E01178","SV024",2022-01-03,"presencial"
"E01186","SV038",2022-01-03,"autogestion"
"E01273","SV012",2022-01-03,"virtual"
"E01456","SV006",2022-01-03,"autogestion"
"E01609","SV038",2022-01-03,"presencial"
"E01701","SV009",2022-01-03,"autogestion"
"E01702","SV012",2022-01-03,"presencial"
"E01853","SV031",2022-01-03,"presencial"
"E01973","SV005",2022-01-03,"virtual"
"E02031","SV028",2022-01-03,"presencial"
"E02081","SV028",2022-01-03,"autogestion"
"E02083","SV023",2022-01-03,"virtual"
"E02097","SV031",2022-01-03,"presencial"
"E02220","SV016",2022-01-03,"presencial"
"E02304","SV017",2022-01-03,"autogestion"
"E02322","SV031",2022-01-03,"autogestion"
"E02345","SV040",2022-01-03,"autogestion"
"E02375","SV018",2022-01-03,"virtual"
"E02404","SV038",2022-01-03,"virtual"
"E02456","SV011",2022-01-03,"autogestion"
"E02468","SV028",2022-01-03,"autogestion"
"E02473","SV005",2022-01-03,"presencial"
"E02551","SV013",2022-01-03,"presencial"
"E02568","SV038",2022-01-03,"autogestion"
"E02642","SV032",2022-01-03,"presencial"
"E02673","SV031",2022-01-03,"virtual"
"E02849","SV013",2022-01-03,"autogestion"
"E02851","SV026",2022-01-03,"presencial"
"E02859","SV009",2022-01-03,"virtual"
"E02890","SV015",2022-01-03,"presencial"
"E02974","SV015",2022-01-03,"virtual"
"E03135","SV025",2022-01-03,"presencial"
"E03156","SV028",2022-01-03,"virtual"
"E03168","SV031",2022-01-03,"virtual"
"E03216","SV016",2022-01-03,"virtual"
"E03315","SV015",2022-01-03,"virtual"
"E03346","SV016",2022-01-03,"virtual"
"E03415","SV014",2022-01-03,"autogestion"
"E03475","SV003",2022-01-03,"virtual"
"E03554","SV005",2022-01-03,"virtual"
"E03694","SV013",2022-01-03,"virtual"
"E03749","SV028",2022-01-03,"autogestion"
"E03901","SV009",2022-01-03,"presencial"
"E03938","SV004",2022-01-03,"presencial"
"E03942","SV024",2022-01-03,"autogestion"
"E03965","SV024",2022-01-03,"presencial"
"E03976","SV013",2022-01-03,"autogestion"
"E03997","SV013",2022-01-03,"autogestion"
"E04049","SV040",2022-01-03,"virtual"
"E04065","SV007",2022-01-03,"virtual"
"E04089","SV013",2022-01-03,"presencial"
"E04093","SV006",2022-01-03,"presencial"
"E04199","SV009",2022-01-03,"autogestion"
"E04311","SV011",2022-01-03,"autogestion"
"E04336","SV023",2022-01-03,"presencial"
"E04345","SV032",2022-01-03,"virtual"
"E04350","SV016",2022-01-03,"autogestion"
"E04586","SV031",2022-01-03,"presencial"
"E04671","SV031",2022-01-03,"virtual"
"E04685","SV027",2022-01-03,"virtual"
"E04715","SV036",2022-01-03,"virtual"
"E04921","SV005",2022-01-03,"autogestion"
"E00020","SV018",2022-01-04,"autogestion"
"E00023","SV029",2022-01-04,"presencial"
"E00136","SV011",2022-01-04,"virtual"
"E00291","SV038",2022-01-04,"presencial"
"E00349","SV031",2022-01-04,"presencial"
"E00352","SV028",2022-01-04,"virtual"
"E00512","SV028",2022-01-04,"autogestion"
"E00673","SV031",2022-01-04,"presencial"
"E00674","SV020",2022-01-04,"virtual"
"E00739","SV038",2022-01-04,"virtual"
"E00919","SV013",2022-01-04,"autogestion"
"E01190","SV009",2022-01-04,"autogestion"
"E01264","SV024",2022-01-04,"presencial"
"E01382","SV036",2022-01-04,"virtual"
"E01551","SV015",2022-01-04,"autogestion"
"E01573","SV028",2022-01-04,"presencial"
"E01616","SV001",2022-01-04,"virtual"
"E01619","SV027",2022-01-04,"autogestion"
"E01672","SV033",2022-01-04,"autogestion"
"E01735","SV028",2022-01-04,"presencial"
"E02001","SV006",2022-01-04,"presencial"
"E02113","SV022",2022-01-04,"autogestion"
"E02136","SV038",2022-01-04,"presencial"
"E02160","SV026",2022-01-04,"virtual"
"E02169","SV005",2022-01-04,"presencial"
"E02343","SV001",2022-01-04,"virtual"
"E02418","SV012",2022-01-04,"presencial"
"E02421","SV024",2022-01-04,"autogestion"
"E02522","SV002",2022-01-04,"autogestion"
"E02535","SV038",2022-01-04,"autogestion"
"E02652","SV009",2022-01-04,"presencial"
"E02660","SV003",2022-01-04,"autogestion"
"E02708","SV020",2022-01-04,"virtual"
"E02724","SV013",2022-01-04,"presencial"
"E02731","SV031",2022-01-04,"virtual"
"E02887","SV036",2022-01-04,"virtual"
"E02893","SV005",2022-01-04,"presencial"
"E02902","SV031",2022-01-04,"autogestion"
"E02984","SV038",2022-01-04,"virtual"
"E02986","SV005",2022-01-04,"autogestion"
"E03103","SV017",2022-01-04,"virtual"
"E03145","SV002",2022-01-04,"autogestion"
"E03175","SV001",2022-01-04,"virtual"
"E03212","SV032",2022-01-04,"virtual"
"E03257","SV016",2022-01-04,"autogestion"
"E03265","SV009",2022-01-04,"virtual"
"E03278","SV005",2022-01-04,"virtual"
"E03285","SV005",2022-01-04,"virtual"
"E03286","SV011",2022-01-04,"autogestion"
"E03301","SV031",2022-01-04,"virtual"
"E03357","SV003",2022-01-04,"presencial"
"E03428","SV029",2022-01-04,"presencial"
"E03441","SV037",2022-01-04,"virtual"
"E03514","SV003",2022-01-04,"virtual"
"E03628","SV031",2022-01-04,"autogestion"
"E03708","SV020",2022-01-04,"autogestion"
"E03715","SV026",2022-01-04,"virtual"
"E03759","SV027",2022-01-04,"virtual"
"E03765","SV019",2022-01-04,"virtual"
"E03950","SV018",2022-01-04,"virtual"
"E04112","SV026",2022-01-04,"virtual"
"E04113","SV006",2022-01-04,"autogestion"
"E04161","SV031",2022-01-04,"presencial"
"E04199","SV009",2022-01-04,"autogestion"
"E04255","SV011",2022-01-04,"autogestion"
"E04299","SV016",2022-01-04,"autogestion"
"E04351","SV015",2022-01-04,"autogestion"
"E04366","SV007",2022-01-04,"virtual"
"E04678","SV028",2022-01-04,"virtual"
"E04686","SV010",2022-01-04,"presencial"
"E04713","SV031",2022-01-04,"virtual"
"E04977","SV003",2022-01-04,"autogestion"
"E00027","SV026",2022-01-05,"presencial"
"E00028","SV038",2022-01-05,"autogestion"
"E00066","SV031",2022-01-05,"presencial"
"E00306","SV008",2022-01-05,"virtual"
"E00316","SV024",2022-01-05,"autogestion"
"E00336","SV031",2022-01-05,"virtual"
"E00347","SV030",2022-01-05,"presencial"
"E00375","SV038",2022-01-05,"autogestion"
"E00436","SV032",2022-01-05,"presencial"
"E00468","SV038",2022-01-05,"virtual"
"E00482","SV012",2022-01-05,"presencial"
"E00482","SV013",2022-01-05,"virtual"
"E00503","SV004",2022-01-05,"autogestion"
"E00550","SV013",2022-01-05,"virtual"
"E00560","SV031",2022-01-05,"autogestion"
"E00600","SV038",2022-01-05,"presencial"
"E00656","SV031",2022-01-05,"presencial"
"E00662","SV033",2022-01-05,"presencial"
"E00716","SV001",2022-01-05,"virtual"
"E00773","SV013",2022-01-05,"presencial"
"E00786","SV040",2022-01-05,"virtual"
"E00856","SV013",2022-01-05,"autogestion"
"E00935","SV015",2022-01-05,"autogestion"
"E00986","SV012",2022-01-05,"autogestion"
"E01027","SV038",2022-01-05,"autogestion"
"E01076","SV015",2022-01-05,"presencial"
"E01100","SV011",2022-01-05,"autogestion"
"E01190","SV003",2022-01-05,"presencial"
"E01264","SV028",2022-01-05,"virtual"
"E01358","SV031",2022-01-05,"virtual"
"E01410","SV038",2022-01-05,"autogestion"
"E01452","SV005",2022-01-05,"autogestion"
"E01500","SV021",2022-01-05,"autogestion"
"E01592","SV038",2022-01-05,"virtual"
"E01605","SV024",2022-01-05,"presencial"
"E01617","SV038",2022-01-05,"autogestion"
"E01668","SV024",2022-01-05,"presencial"
"E01699","SV036",2022-01-05,"autogestion"
"E01729","SV031",2022-01-05,"presencial"
"E01730","SV038",2022-01-05,"autogestion"
"E01754","SV013",2022-01-05,"virtual"
"E01845","SV005",2022-01-05,"virtual"
"E01908","SV038",2022-01-05,"autogestion"
"E01985","SV018",2022-01-05,"virtual"
"E02041","SV016",2022-01-05,"virtual"
"E02082","SV028",2022-01-05,"autogestion"
"E02097","SV031",2022-01-05,"autogestion"
"E02269","SV017",2022-01-05,"presencial"
"E02417","SV036",2022-01-05,"autogestion"
"E02420","SV030",2022-01-05,"presencial"
"E02431","SV010",2022-01-05,"virtual"
"E02431","SV002",2022-01-05,"presencial"
"E02435","SV011",2022-01-05,"autogestion"
"E02467","SV033",2022-01-05,"presencial"
"E02550","SV004",2022-01-05,"presencial"
"E02561","SV037",2022-01-05,"autogestion"
"E02640","SV038",2022-01-05,"autogestion"
"E02684","SV005",2022-01-05,"presencial"
"E02770","SV006",2022-01-05,"autogestion"
"E02785","SV015",2022-01-05,"virtual"
"E02796","SV034",2022-01-05,"virtual"
"E02837","SV015",2022-01-05,"virtual"
"E02994","SV013",2022-01-05,"virtual"
"E03125","SV013",2022-01-05,"presencial"
"E03127","SV015",2022-01-05,"virtual"
"E03178","SV033",2022-01-05,"autogestion"
"E03197","SV031",2022-01-05,"autogestion"
"E03239","SV015",2022-01-05,"presencial"
"E03241","SV005",2022-01-05,"autogestion"
"E03297","SV013",2022-01-05,"virtual"
"E03414","SV039",2022-01-05,"autogestion"
"E03537","SV031",2022-01-05,"presencial"
"E03579","SV009",2022-01-05,"virtual"
"E03628","SV031",2022-01-05,"virtual"
"E03637","SV005",2022-01-05,"autogestion"
"E03639","SV011",2022-01-05,"virtual"
"E03678","SV004",2022-01-05,"presencial"
"E03720","SV024",2022-01-05,"presencial"
"E03831","SV011",2022-01-05,"virtual"
"E03906","SV031",2022-01-05,"autogestion"
"E03911","SV022",2022-01-05,"autogestion"
"E03961","SV002",2022-01-05,"autogestion"
"E03975","SV016",2022-01-05,"autogestion"
"E04007","SV003",2022-01-05,"autogestion"
"E04043","SV031",2022-01-05,"virtual"
"E04070","SV010",2022-01-05,"virtual"
"E04097","SV004",2022-01-05,"autogestion"
"E04213","SV022",2022-01-05,"presencial"
"E04290","SV005",2022-01-05,"autogestion"
"E04324","SV031",2022-01-05,"virtual"
"E04423","SV038",2022-01-05,"autogestion"
"E04433","SV028",2022-01-05,"virtual"
"E04493","SV028",2022-01-05,"virtual"
"E04505","SV026",2022-01-05,"presencial"
"E04524","SV024",2022-01-05,"presencial"
"E04530","SV018",2022-01-05,"presencial"
"E04531","SV004",2022-01-05,"virtual"
"E04578","SV036",2022-01-05,"autogestion"
"E04631","SV011",2022-01-05,"presencial"
"E04637","SV014",2022-01-05,"virtual"
"E04702","SV024",2022-01-05,"presencial"
"E04733","SV016",2022-01-05,"presencial"
"E04775","SV003",2022-01-05,"virtual"
"E04802","SV011",2022-01-05,"autogestion"
"E04836","SV005",2022-01-05,"virtual"
"E04903","SV005",2022-01-05,"autogestion"
"E00027","SV022",2022-01-06,"presencial"
"E00113","SV015",2022-01-06,"autogestion"
"E00235","SV011",2022-01-06,"autogestion"
"E00291","SV011",2022-01-06,"autogestion"
"E00329","SV031",2022-01-06,"presencial"
"E00376","SV015",2022-01-06,"presencial"
"E00463","SV012",2022-01-06,"autogestion"
"E00590","SV013",2022-01-06,"virtual"
"E00601","SV010",2022-01-06,"virtual"
"E00682","SV024",2022-01-06,"autogestion"
"E00729","SV018",2022-01-06,"autogestion"
"E00740","SV038",2022-01-06,"virtual"
"E00918","SV034",2022-01-06,"presencial"
"E01165","SV028",2022-01-06,"autogestion"
"E01224","SV011",2022-01-06,"autogestion"
"E01310","SV028",2022-01-06,"presencial"
"E01357","SV031",2022-01-06,"virtual"
"E01413","SV029",2022-01-06,"virtual"
"E01518","SV031",2022-01-06,"virtual"
"E01537","SV018",2022-01-06,"autogestion"
"E01611","SV029",2022-01-06,"virtual"
"E01654","SV026",2022-01-06,"virtual"
"E01671","SV015",2022-01-06,"virtual"
"E01683","SV031",2022-01-06,"virtual"
"E01721","SV013",2022-01-06,"presencial"
"E01723","SV023",2022-01-06,"presencial"
"E01945","SV017",2022-01-06,"presencial"
"E01993","SV015",2022-01-06,"virtual"
"E02165","SV011",2022-01-06,"virtual"
"E02181","SV040",2022-01-06,"presencial"
"E02247","SV022",2022-01-06,"autogestion"
"E02253","SV013",2022-01-06,"autogestion"
"E02361","SV026",2022-01-06,"autogestion"
"E02468","SV024",2022-01-06,"virtual"
"E02468","SV040",2022-01-06,"autogestion"
"E02502","SV005",2022-01-06,"autogestion"
"E02541","SV013",2022-01-06,"autogestion"
"E02614","SV017",2022-01-06,"virtual"
"E02673","SV028",2022-01-06,"virtual"
"E02678","SV028",2022-01-06,"virtual"
"E02695","SV016",2022-01-06,"virtual"
"E02770","SV026",2022-01-06,"autogestion"
"E02910","SV015",2022-01-06,"virtual"
"E03002","SV017",2022-01-06,"presencial"
"E03175","SV006",2022-01-06,"autogestion"
"E03177","SV028",2022-01-06,"presencial"
"E03190","SV004",2022-01-06,"autogestion"
"E03228","SV013",2022-01-06,"virtual"
"E03242","SV016",2022-01-06,"presencial"
"E03307","SV023",2022-01-06,"autogestion"
"E03623","SV013",2022-01-06,"autogestion"
"E03658","SV015",2022-01-06,"presencial"
"E03770","SV015",2022-01-06,"presencial"
"E03803","SV040",2022-01-06,"virtual"
"E03873","SV013",2022-01-06,"autogestion"
"E03874","SV017",2022-01-06,"presencial"
"E03875","SV018",2022-01-06,"virtual"
"E03912","SV004",2022-01-06,"autogestion"
"E03941","SV015",2022-01-06,"autogestion"
"E03973","SV031",2022-01-06,"presencial"
"E03982","SV028",2022-01-06,"virtual"
"E04011","SV031",2022-01-06,"autogestion"
"E04011","SV013",2022-01-06,"presencial"
"E04074","SV013",2022-01-06,"presencial"
"E04112","SV038",2022-01-06,"virtual"
"E04296","SV002",2022-01-06,"virtual"
"E04323","SV013",2022-01-06,"presencial"
"E04332","SV040",2022-01-06,"presencial"
"E04352","SV027",2022-01-06,"autogestion"
"E04420","SV031",2022-01-06,"virtual"
"E04498","SV025",2022-01-06,"autogestion"
"E04515","SV024",2022-01-06,"presencial"
"E04521","SV017",2022-01-06,"presencial"
"E04536","SV038",2022-01-06,"presencial"
"E04591","SV030",2022-01-06,"presencial"
"E04662","SV016",2022-01-06,"virtual"
"E04703","SV015",2022-01-06,"virtual"
"E04720","SV039",2022-01-06,"autogestion"
"E04788","SV013",2022-01-06,"presencial"
"E04861","SV028",2022-01-06,"virtual"
"E04880","SV036",2022-01-06,"presencial"
"E00051","SV031",2022-01-07,"virtual"
"E00105","SV019",2022-01-07,"autogestion"
"E00364","SV028",2022-01-07,"virtual"
"E00421","SV038",2022-01-07,"presencial"
"E00457","SV009",2022-01-07,"autogestion"
"E00508","SV012",2022-01-07,"presencial"
"E00518","SV028",2022-01-07,"presencial"
"E00599","SV037",2022-01-07,"autogestion"
"E00645","SV011",2022-01-07,"virtual"
"E00991","SV023",2022-01-07,"virtual"
"E00993","SV028",2022-01-07,"presencial"
"E00996","SV011",2022-01-07,"autogestion"
"E01001","SV031",2022-01-07,"presencial"
"E01067","SV028",2022-01-07,"autogestion"
"E01085","SV012",2022-01-07,"virtual"
"E01125","SV016",2022-01-07,"virtual"
"E01127","SV038",2022-01-07,"autogestion"
"E01196","SV012",2022-01-07,"presencial"
"E01202","SV009",2022-01-07,"autogestion"
"E01202","SV015",2022-01-07,"presencial"
"E01249","SV009",2022-01-07,"presencial"
"E01294","SV030",2022-01-07,"presencial"
"E01295","SV004",2022-01-07,"virtual"
"E01347","SV024",2022-01-07,"virtual"
"E01360","SV014",2022-01-07,"autogestion"
"E01420","SV030",2022-01-07,"virtual"
"E01436","SV008",2022-01-07,"autogestion"
"E01439","SV013",2022-01-07,"autogestion"
"E01565","SV011",2022-01-07,"autogestion"
"E01568","SV016",2022-01-07,"virtual"
"E01577","SV017",2022-01-07,"autogestion"
"E01628","SV030",2022-01-07,"virtual"
"E01715","SV040",2022-01-07,"presencial"
"E01750","SV007",2022-01-07,"autogestion"
"E01818","SV002",2022-01-07,"presencial"
"E01849","SV031",2022-01-07,"autogestion"
"E01946","SV003",2022-01-07,"autogestion"
"E01949","SV013",2022-01-07,"autogestion"
"E01965","SV031",2022-01-07,"presencial"
"E02011","SV028",2022-01-07,"presencial"
"E02012","SV006",2022-01-07,"autogestion"
"E02037","SV031",2022-01-07,"presencial"
"E02106","SV038",2022-01-07,"virtual"
"E02107","SV013",2022-01-07,"virtual"
"E02181","SV031",2022-01-07,"autogestion"
"E02252","SV015",2022-01-07,"autogestion"
"E02263","SV028",2022-01-07,"presencial"
"E02295","SV034",2022-01-07,"virtual"
"E02338","SV028",2022-01-07,"presencial"
"E02363","SV029",2022-01-07,"virtual"
"E02391","SV020",2022-01-07,"autogestion"
"E02416","SV040",2022-01-07,"presencial"
"E02449","SV030",2022-01-07,"virtual"
"E02533","SV029",2022-01-07,"virtual"
"E02550","SV011",2022-01-07,"virtual"
"E02561","SV038",2022-01-07,"presencial"
"E02563","SV015",2022-01-07,"virtual"
"E02603","SV013",2022-01-07,"autogestion"
"E02648","SV015",2022-01-07,"virtual"
"E02763","SV023",2022-01-07,"virtual"
"E02808","SV013",2022-01-07,"virtual"
"E02921","SV021",2022-01-07,"virtual"
"E02956","SV013",2022-01-07,"autogestion"
"E02993","SV038",2022-01-07,"virtual"
"E03138","SV040",2022-01-07,"virtual"
"E03148","SV028",2022-01-07,"presencial"
"E03183","SV038",2022-01-07,"presencial"
"E03202","SV009",2022-01-07,"virtual"
"E03210","SV013",2022-01-07,"presencial"
"E03215","SV015",2022-01-07,"presencial"
"E03248","SV009",2022-01-07,"autogestion"
"E03252","SV026",2022-01-07,"presencial"
"E03296","SV031",2022-01-07,"presencial"
"E03539","SV024",2022-01-07,"presencial"
"E03615","SV031",2022-01-07,"autogestion"
"E03657","SV028",2022-01-07,"autogestion"
"E03941","SV015",2022-01-07,"autogestion"
"E03945","SV011",2022-01-07,"virtual"
"E04047","SV031",2022-01-07,"virtual"
"E04053","SV004",2022-01-07,"autogestion"
"E04082","SV002",2022-01-07,"presencial"
"E04135","SV004",2022-01-07,"autogestion"
"E04206","SV032",2022-01-07,"virtual"
"E04213","SV022",2022-01-07,"presencial"
"E04240","SV038",2022-01-07,"presencial"
"E04255","SV038",2022-01-07,"presencial"
"E04291","SV037",2022-01-07,"virtual"
"E04312","SV028",2022-01-07,"virtual"
"E04316","SV015",2022-01-07,"virtual"
"E04386","SV024",2022-01-07,"presencial"
"E04494","SV005",2022-01-07,"autogestion"
"E04571","SV018",2022-01-07,"presencial"
"E04634","SV020",2022-01-07,"presencial"
"E04642","SV031",2022-01-07,"autogestion"
"E04644","SV024",2022-01-07,"presencial"
"E04700","SV003",2022-01-07,"presencial"
